Epoch,Beta
1,-0.312330424785614
2,-0.5959561467170715
3,-0.8790165185928345
4,-1.1639177799224854
5,-1.2969636917114258
6,-1.5123858451843262
7,-1.7777225971221924
8,-2.034514904022217
9,-2.2883858680725098
10,-2.5733683109283447
11,-2.8530263900756836
12,-3.068026065826416
13,-3.1978540420532227
14,-3.284477710723877
15,-3.3170933723449707
16,-3.3733601570129395
17,-3.449190855026245
18,-3.5292139053344727
19,-3.5909366607666016
20,-3.62990665435791
21,-3.6518001556396484
22,-3.6649954319000244
23,-3.669496536254883
24,-3.6737656593322754
25,-3.6814749240875244
26,-3.6933398246765137
27,-3.7066233158111572
28,-3.7182352542877197
29,-3.7278246879577637
30,-3.736276626586914
31,-3.743509292602539
32,-3.7488293647766113
33,-3.7534544467926025
34,-3.757462739944458
35,-3.7615978717803955
36,-3.765000104904175
37,-3.767714023590088
38,-3.7695717811584473
39,-3.771174907684326
40,-3.772193431854248
41,-3.7731871604919434
42,-3.7736172676086426
43,-3.774005889892578
44,-3.774946689605713
45,-3.776430130004883
46,-3.7777814865112305
47,-3.7794742584228516
48,-3.781205415725708
49,-3.782966136932373
50,-3.783782720565796
51,-3.7844696044921875
52,-3.784975528717041
53,-3.7859854698181152
54,-3.7863993644714355
55,-3.787456512451172
56,-3.787930488586426
57,-3.788694381713867
58,-3.7893593311309814
59,-3.790442705154419
60,-3.79117751121521
61,-3.7917466163635254
62,-3.792147159576416
63,-3.792067050933838
64,-3.7916924953460693
65,-3.7915923595428467
66,-3.791337490081787
67,-3.791492462158203
68,-3.7912991046905518
69,-3.7911856174468994
70,-3.7916669845581055
71,-3.792076349258423
72,-3.7927029132843018
73,-3.793045997619629
74,-3.7934110164642334
75,-3.793945074081421
76,-3.7940969467163086
77,-3.794710397720337
78,-3.794703960418701
79,-3.7951302528381348
80,-3.795442819595337
81,-3.795597791671753
82,-3.7958016395568848
83,-3.796100378036499
84,-3.796290159225464
85,-3.796389102935791
86,-3.7965211868286133
87,-3.7966971397399902
88,-3.7970197200775146
89,-3.7970800399780273
90,-3.7971863746643066
91,-3.7975218296051025
92,-3.7977147102355957
93,-3.7983343601226807
94,-3.7989070415496826
95,-3.7992753982543945
96,-3.799703598022461
97,-3.7997937202453613
98,-3.7998461723327637
99,-3.799905300140381
100,-3.800116777420044
