Epoch,Beta
1,0.6080526113510132
2,0.09249627590179443
3,-0.4496365785598755
4,-1.0339152812957764
5,-1.645088791847229
6,-2.179704189300537
7,-2.525158405303955
8,-2.6969146728515625
9,-2.847700595855713
10,-2.972081184387207
11,-3.0981743335723877
12,-3.2192435264587402
13,-3.3096981048583984
14,-3.3549678325653076
15,-3.3864963054656982
16,-3.4262776374816895
17,-3.466492176055908
18,-3.5081300735473633
19,-3.5478501319885254
20,-3.585484027862549
21,-3.615291118621826
22,-3.633884906768799
23,-3.6400227546691895
24,-3.642098903656006
25,-3.647319793701172
26,-3.6576380729675293
27,-3.6631126403808594
28,-3.6652543544769287
29,-3.666954517364502
30,-3.669002056121826
31,-3.673142194747925
32,-3.6742138862609863
33,-3.6758813858032227
34,-3.6766581535339355
35,-3.6743879318237305
36,-3.669966459274292
37,-3.66763973236084
38,-3.66162109375
39,-3.652143955230713
40,-3.637493848800659
41,-3.6209428310394287
42,-3.613879680633545
43,-3.6121010780334473
44,-3.607661724090576
45,-3.5966711044311523
46,-3.586702823638916
47,-3.5843329429626465
48,-3.596440553665161
49,-3.618065118789673
50,-3.6403284072875977
51,-3.6604671478271484
52,-3.674663543701172
53,-3.68328857421875
54,-3.685107707977295
55,-3.686748504638672
56,-3.688481330871582
57,-3.6871492862701416
58,-3.6876683235168457
59,-3.6873059272766113
60,-3.6845922470092773
61,-3.6859848499298096
62,-3.686290979385376
63,-3.6833996772766113
64,-3.6804654598236084
65,-3.6780076026916504
66,-3.6783924102783203
67,-3.675539970397949
68,-3.6726741790771484
69,-3.6689541339874268
70,-3.6619300842285156
71,-3.650646686553955
72,-3.631147861480713
73,-3.6096863746643066
74,-3.58793044090271
75,-3.5567426681518555
76,-3.5023193359375
77,-3.401977062225342
78,-3.24599027633667
79,-3.0566561222076416
80,-2.8769869804382324
81,-2.713613748550415
82,-2.552461862564087
83,-2.5633225440979004
84,-2.628612518310547
85,-2.5970194339752197
86,-2.546085834503174
87,-2.4526805877685547
88,-2.3556840419769287
89,-2.2391974925994873
90,-2.0669891834259033
91,-1.85310697555542
92,-1.5815660953521729
93,-1.51411771774292
94,-1.4958083629608154
95,-1.4048844575881958
96,-1.2681868076324463
97,-1.2073395252227783
98,-1.2081334590911865
99,-1.2580647468566895
100,-1.0861029624938965
