Epoch,Beta
1,-0.09115248918533325
2,0.21465659141540527
3,-0.06545722484588623
4,-0.21674364805221558
5,-0.2942785620689392
6,-0.32913029193878174
7,-0.3504297137260437
8,-0.3769001364707947
9,-0.39133191108703613
10,-0.3862440586090088
11,-0.3730642795562744
12,-0.3635680675506592
13,-0.3631284832954407
14,-0.38163065910339355
15,-0.4141676425933838
16,-0.459059476852417
17,-0.5092605948448181
18,-0.5211496353149414
19,-0.457378625869751
20,-0.3321993350982666
21,-0.23589670658111572
22,-0.1871052384376526
23,-0.1646825671195984
24,-0.1479583978652954
25,-0.1407986879348755
26,-0.13758718967437744
27,-0.13026386499404907
28,-0.10493755340576172
29,-0.07125496864318848
30,-0.037270188331604004
31,-0.0005868077278137207
32,0.0074547529220581055
33,0.01647055149078369
34,0.03542661666870117
35,0.05791187286376953
36,0.0777357816696167
37,0.09215354919433594
38,0.09758174419403076
39,0.0892406702041626
40,0.059365034103393555
41,0.02548813819885254
42,0.005577802658081055
43,0.010066032409667969
44,0.0077342987060546875
45,-0.0003579258918762207
46,-0.01604825258255005
47,-0.03241211175918579
48,-0.04966527223587036
49,-0.06769895553588867
50,-0.06789654493331909
51,-0.07168233394622803
52,-0.0667235255241394
53,-0.06955176591873169
54,-0.08701920509338379
55,-0.10711550712585449
56,-0.1225164532661438
57,-0.1290595531463623
58,-0.14381229877471924
59,-0.1541680097579956
60,-0.15170663595199585
61,-0.14483213424682617
62,-0.14270246028900146
63,-0.1407673954963684
64,-0.1471284031867981
65,-0.14971554279327393
66,-0.16037046909332275
67,-0.1647883653640747
68,-0.16845256090164185
69,-0.1676708459854126
70,-0.16596108675003052
71,-0.17124176025390625
72,-0.16835689544677734
73,-0.16386419534683228
74,-0.15657484531402588
75,-0.1541033387184143
76,-0.15943408012390137
77,-0.16311019659042358
78,-0.16527384519577026
79,-0.16704261302947998
80,-0.16893744468688965
81,-0.16815394163131714
82,-0.1680859923362732
83,-0.16865700483322144
84,-0.17016083002090454
85,-0.16719579696655273
86,-0.16818195581436157
87,-0.16904175281524658
88,-0.1631408929824829
89,-0.16600638628005981
90,-0.16355782747268677
91,-0.16234248876571655
92,-0.165615975856781
93,-0.16416221857070923
94,-0.16503900289535522
95,-0.16830354928970337
96,-0.1655551791191101
97,-0.1694023609161377
98,-0.17094939947128296
99,-0.1751166582107544
100,-0.17625808715820312
