Epoch,Cooperation Rate
1,0.7
2,0.675
3,0.85
4,0.85
5,1.0
6,0.45
7,0.9
8,0.775
9,1.0
10,0.975
11,0.725
12,0.5
13,0.95
14,0.8
15,0.9
16,0.9
17,0.975
18,0.75
19,0.85
20,0.725
21,0.9
22,0.775
23,0.7
24,0.95
25,0.875
26,0.8
27,0.925
28,0.925
29,0.875
30,0.95
31,0.925
32,0.775
33,0.975
34,0.9
35,0.925
36,0.975
37,0.975
38,0.9
39,1.0
40,0.9
41,0.825
42,0.925
43,1.0
44,0.925
45,0.95
46,0.85
47,0.875
48,0.975
49,1.0
50,0.875
51,0.85
52,1.0
53,0.925
54,0.925
55,0.9
56,0.9
57,0.85
58,0.975
59,0.975
60,0.875
61,0.925
62,0.8
63,1.0
64,0.85
65,0.825
66,0.975
67,0.9
68,0.875
69,0.975
70,0.925
71,0.95
72,0.975
73,0.975
74,0.975
75,0.8
76,0.9
77,0.9
78,0.925
79,0.85
80,0.9
81,0.95
82,0.85
83,0.825
84,0.975
85,0.675
86,0.825
87,0.9
88,0.975
89,0.975
90,0.85
91,0.85
92,0.95
93,0.95
94,0.925
95,0.875
96,0.825
97,0.875
98,0.975
99,0.975
100,0.775
101,0.875
102,0.8
103,0.925
104,0.875
105,0.85
106,0.85
107,0.975
108,0.825
109,0.925
110,1.0
111,0.95
112,0.9
113,0.875
114,1.0
115,1.0
116,0.75
117,0.925
118,0.975
119,0.9
120,1.0
121,0.975
122,0.85
123,0.95
124,0.975
125,0.925
126,0.95
127,1.0
128,0.875
129,0.825
130,0.85
131,1.0
132,0.875
133,0.675
134,0.825
135,0.875
136,0.95
137,0.975
138,0.9
139,0.8
140,0.925
141,0.975
142,0.75
143,0.975
144,0.725
145,0.75
146,1.0
147,0.85
148,0.85
149,0.925
150,1.0
151,0.975
152,0.875
153,0.975
154,0.75
155,0.925
156,0.975
157,0.975
158,0.65
159,0.95
160,0.85
161,0.9
162,0.925
163,0.925
164,0.775
165,0.85
166,0.925
167,0.775
168,0.85
169,0.9
170,0.8
171,0.975
172,0.925
173,0.975
174,0.975
175,0.975
176,0.75
177,0.975
178,0.925
179,0.95
180,0.925
181,1.0
182,0.925
183,0.925
184,0.95
185,0.975
186,0.9
187,0.775
188,1.0
189,0.925
190,0.925
191,1.0
192,0.9
193,0.9
194,0.9
195,0.875
196,0.95
197,0.9
198,0.9
199,0.875
200,1.0
