Epoch,Individual Income
1,2.0
2,1.5
3,1.1
4,0.8
5,1.1
6,0.8
7,0.5
8,0.5
9,1.4
10,0.7
11,0.9
12,0.8
13,1.1
14,0.7
15,0.6
16,0.8
17,1.0
18,0.8
19,0.6
20,1.0
21,0.6
22,0.9
23,0.4
24,0.5
25,0.2
26,0.2
27,1.1
28,0.7
29,0.8
30,1.0
31,0.5
32,0.6
33,0.9
34,0.5
35,0.9
36,1.3
37,0.4
38,0.7
39,0.2
40,0.9
41,0.5
42,0.2
43,0.5
44,0.6
45,0.7
46,0.5
47,0.5
48,0.8
49,0.2
50,0.9
51,0.8
52,0.5
53,0.9
54,0.3
55,0.6
56,0.2
57,0.6
58,0.5
59,0.5
60,0.8
61,0.5
62,0.8
63,0.2
64,1.2
65,0.5
66,0.3
67,1.0
68,0.7
69,0.5
70,1.0
71,0.3
72,1.2
73,0.7
74,0.9
75,0.8
76,0.5
77,0.8
78,0.2
79,0.3
80,0.5
81,1.2
82,1.2
83,0.8
84,0.8
85,0.2
86,1.1
87,0.2
88,0.8
89,0.6
90,0.7
91,0.6
92,1.0
93,0.8
94,0.8
95,0.2
96,0.8
97,0.9
98,0.6
99,0.2
100,0.9
101,0.2
102,0.6
103,0.5
104,0.8
105,0.5
106,0.5
107,0.6
108,0.6
109,1.1
110,0.5
111,0.8
112,0.2
113,0.9
114,0.2
115,0.4
116,0.8
117,0.8
118,0.5
119,0.5
120,0.5
121,0.5
122,0.6
123,0.5
124,0.2
125,0.8
126,0.2
127,0.8
128,0.8
129,0.6
130,0.9
131,0.2
132,0.2
133,0.5
134,0.2
135,0.6
136,0.8
137,0.2
138,0.8
139,1.0
140,0.7
141,0.5
142,0.2
143,0.2
144,0.8
145,0.3
146,0.8
147,1.1
148,0.8
149,0.9
150,0.6
151,0.5
152,0.9
153,0.2
154,0.9
155,0.8
156,0.5
157,0.9
158,0.9
159,0.2
160,0.8
161,0.6
162,0.5
163,0.5
164,0.3
165,0.8
166,1.2
167,0.6
168,0.8
169,0.8
170,0.6
171,0.8
172,1.0
173,0.5
174,0.2
175,0.6
176,0.6
177,0.6
178,1.0
179,0.9
180,0.5
181,0.8
182,0.5
183,1.1
184,0.8
185,0.2
186,0.8
187,0.3
188,0.7
189,0.8
190,0.6
191,0.2
192,0.8
193,1.0
194,1.2
195,0.3
196,0.3
197,0.5
198,0.6
199,0.6
200,0.7
