Epoch,Beta
1,-1.1054012775421143
2,-0.2083316445350647
3,-0.9022989869117737
4,-1.5929832458496094
5,-2.1697213649749756
6,-2.556161880493164
7,-2.7843663692474365
8,-2.909585475921631
9,-2.9842281341552734
10,-3.032909631729126
11,-3.063122034072876
12,-3.0891847610473633
13,-3.1062397956848145
14,-3.1204171180725098
15,-3.135390520095825
16,-3.1444449424743652
17,-3.1543564796447754
18,-3.165538787841797
19,-3.1740305423736572
20,-3.1833553314208984
21,-3.192559242248535
22,-3.2015786170959473
23,-3.2084310054779053
24,-3.21512508392334
25,-3.224778175354004
26,-3.2327189445495605
27,-3.2351648807525635
28,-3.2451157569885254
29,-3.2491137981414795
30,-3.2561779022216797
31,-3.2628426551818848
32,-3.267504930496216
33,-3.2727460861206055
34,-3.2776784896850586
35,-3.28269624710083
36,-3.286644220352173
37,-3.292158842086792
38,-3.29734468460083
39,-3.302133083343506
40,-3.306138753890991
41,-3.310716152191162
42,-3.312603235244751
43,-3.319394111633301
44,-3.322427749633789
45,-3.3228464126586914
46,-3.3271069526672363
47,-3.3324801921844482
48,-3.335237979888916
49,-3.337289333343506
50,-3.3428502082824707
51,-3.3453726768493652
52,-3.3476064205169678
53,-3.3510799407958984
54,-3.3526251316070557
55,-3.354382038116455
56,-3.3573126792907715
57,-3.361172676086426
58,-3.3666110038757324
59,-3.3653454780578613
60,-3.368494749069214
61,-3.3723185062408447
62,-3.3726768493652344
63,-3.3765220642089844
64,-3.3775506019592285
65,-3.3821380138397217
66,-3.382962226867676
67,-3.385227918624878
68,-3.3866989612579346
69,-3.3882734775543213
70,-3.389267921447754
71,-3.3922946453094482
72,-3.3949077129364014
73,-3.395047426223755
74,-3.39827561378479
75,-3.399214744567871
76,-3.4018044471740723
77,-3.4049863815307617
78,-3.4055733680725098
79,-3.407083749771118
80,-3.4084830284118652
81,-3.4106409549713135
82,-3.412130832672119
83,-3.413355827331543
84,-3.4167933464050293
85,-3.415595531463623
86,-3.4176502227783203
87,-3.4190564155578613
88,-3.421175479888916
89,-3.4203624725341797
90,-3.4220452308654785
91,-3.425461769104004
92,-3.4271044731140137
93,-3.428311586380005
94,-3.4292757511138916
95,-3.4305760860443115
96,-3.431980609893799
97,-3.431553840637207
98,-3.4339404106140137
99,-3.435730457305908
100,-3.435695171356201
